date,ssm,lst_mean,lst_min,lst_max
2023-07-07,,28.676,19.28,37.45
2023-07-08,,26.161,17.67,37.63
2023-07-09,29.0,27.882,19.68,39.55
2023-07-10,30.0,28.04,21.23,38.04
2023-07-11,,28.439,20.48,40.17
2023-07-12,,28.361,20.88,39.4
2023-07-13,,28.319,22.49,39.65
2023-07-14,127.5,30.309,18.4,41.17
2023-07-15,38.0,30.348,21.2,44.56
2023-07-16,,27.752,20.49,39.59
2023-07-17,,28.753,21.03,39.87
2023-07-18,,32.329,22.37,43.0
2023-07-19,,32.663,23.69,46.14
2023-07-20,,27.324,24.79,39.78
2023-07-21,24.5,29.161,22.68,42.86
2023-07-22,33.5,26.144,20.1,34.68
2023-07-23,,25.122,17.63,30.69
2023-07-24,,28.494,21.98,40.35
2023-07-25,,30.624,21.33,43.69
2023-07-26,127.5,28.598,22.39,37.12
2023-07-27,29.0,29.552,19.44,45.92
2023-07-28,,30.894,20.65,43.35
2023-07-29,,30.014,21.09,43.29
2023-07-30,,30.59,21.11,42.78
2023-07-31,,30.685,22.09,42.5
2023-08-01,,32.572,23.27,46.11
2023-08-02,23.0,32.448,23.3,45.95
2023-08-03,14.0,29.782,22.16,41.39
2023-08-04,,28.365,19.53,39.64
2023-08-05,,29.48,20.03,42.44
2023-08-06,,30.107,20.13,43.92
2023-08-07,127.5,25.56,19.59,37.6
2023-08-08,18.0,26.018,18.87,37.51
2023-08-09,,25.895,19.06,35.44
2023-08-10,,27.109,16.87,37.32
2023-08-11,,30.422,22.66,40.39
2023-08-12,,29.27,21.3,41.38
2023-08-13,,29.637,22.32,42.61
2023-08-14,13.5,30.067,22.94,42.92
2023-08-15,10.5,28.815,20.18,40.63
2023-08-16,,29.076,21.11,41.53
2023-08-17,,30.765,21.78,43.14
2023-08-18,,31.953,20.6,43.75
2023-08-19,127.5,33.031,23.14,45.03
2023-08-20,17.0,32.582,24.16,44.84
2023-08-21,,31.487,22.61,44.01
2023-08-22,,32.128,22.05,45.89
2023-08-23,,31.763,23.46,44.26
2023-08-24,,31.245,21.17,45.37
2023-08-25,,30.535,20.92,43.8
2023-08-26,14.0,31.009,22.55,44.35
2023-08-27,7.5,33.267,23.29,39.29
2023-08-28,,31.308,20.01,45.17
2023-08-29,,28.773,19.21,43.18
2023-08-30,,25.577,21.36,40.57
2023-08-31,127.5,28.696,20.21,41.81
2023-09-01,13.0,25.139,18.72,36.54
2023-09-02,,36.87,35.56,38.18
2023-09-03,,14.66,14.56,14.76
2023-09-04,,21.125,12.86,31.35
2023-09-05,,21.364,14.4,30.31
2023-09-06,,23.8,13.3,35.89
2023-09-07,19.0,25.605,20.46,38.01
2023-09-08,27.5,23.932,18.7,36.75
2023-09-09,,27.407,20.07,39.52
2023-09-10,,24.593,21.45,30.29
2023-09-11,,27.619,19.23,43.26
2023-09-12,,26.797,20.19,38.08
2023-09-13,31.0,23.872,19.31,30.12
2023-09-14,,22.659,14.48,31.58
2023-09-15,,27.869,20.06,38.32
2023-09-16,,19.786,17.04,20.88
2023-09-17,,23.125,17.91,32.34
2023-09-18,,28.675,19.53,41.72
2023-09-19,17.0,20.398,17.71,21.71
2023-09-20,22.5,26.202,18.05,40.27
2023-09-21,,22.015,18.13,35.8
2023-09-22,,28.654,20.65,37.77
2023-09-23,,26.554,15.32,39.32
2023-09-24,127.5,24.215,17.07,37.09
2023-09-25,24.0,24.616,17.11,37.36
2023-09-26,,25.158,17.49,38.79
2023-09-27,,24.35,14.37,38.09
2023-09-28,,24.86,16.79,38.73
2023-09-29,,24.668,17.63,37.59
2023-09-30,,25.512,17.71,38.93
2023-10-01,15.5,25.264,16.07,40.87
2023-10-02,8.5,25.136,15.74,39.05
2023-10-03,,25.483,15.48,39.04
2023-10-04,,25.284,19.15,37.35
2023-10-05,,24.837,17.56,37.0
2023-10-06,127.5,27.902,19.81,37.62
2023-10-07,45.5,24.93,19.23,36.39
2023-10-08,,24.116,17.05,36.37
2023-10-09,,22.164,16.92,35.35
2023-10-10,,21.635,13.97,32.2
2023-10-11,,23.256,17.36,35.31
2023-10-12,,23.674,16.75,35.67
2023-10-13,14.0,23.726,16.75,35.75
2023-10-14,16.5,18.008,16.07,19.58
2023-10-15,,23.859,16.19,36.9
2023-10-16,,20.188,16.32,29.84
2023-10-17,,19.175,14.45,34.77
2023-10-18,127.5,22.635,16.24,35.0
2023-10-19,25.5,19.89,19.89,19.89
2023-10-20,,20.688,13.05,31.33
2023-10-21,,18.464,8.71,32.69
2023-10-22,,17.435,10.14,23.03
2023-10-23,,24.469,16.51,31.27
2023-10-24,,20.954,14.05,31.85
2023-10-25,17.0,18.73,12.01,33.76
2023-10-26,16.5,16.182,14.79,20.68
2023-10-27,,17.367,13.09,27.09
2023-10-28,,18.445,9.93,31.96
2023-10-29,,16.769,10.1,29.03
2023-10-30,127.5,24.222,12.41,29.5
2023-10-31,14.5,,,
2023-11-01,,18.753,11.12,29.61
2023-11-02,,20.645,15.29,26.0
2023-11-03,,13.296,11.16,14.03
2023-11-04,,17.567,11.23,26.94
2023-11-05,,17.894,10.62,31.22
2023-11-06,8.0,14.391,9.92,23.47
2023-11-07,7.0,15.563,9.25,28.7
2023-11-08,,13.58,6.61,26.24
2023-11-09,,14.897,7.95,26.74
2023-11-10,,20.108,10.84,30.03
2023-11-11,127.5,15.996,9.25,31.4
2023-11-12,16.5,20.378,12.62,33.67
2023-11-13,,18.495,12.52,31.97
2023-11-14,,17.469,11.34,32.96
2023-11-15,,18.192,11.52,32.14
2023-11-16,,14.369,6.49,27.9
2023-11-17,,19.286,8.82,33.19
2023-11-18,21.5,16.738,10.94,28.12
2023-11-19,29.0,15.426,8.69,28.47
2023-11-20,,11.838,7.25,24.38
2023-11-21,,14.827,7.39,27.94
2023-11-22,,14.956,8.91,25.99
2023-11-23,127.5,13.198,7.62,26.7
2023-11-24,13.0,12.856,5.07,27.27
2023-11-25,,14.236,7.0,27.28
2023-11-26,,14.37,9.92,25.45
